Artist Name,NSFW Level,Style,Top Kink 1,Top Kink 2,Top Kink 3,Image URL,netorare,used_condom
john k pe-ta,Extreme,Sketch,netorare,condom,submission,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/042%2520%2528john%20k%20pe-ta%2529.jpg,1,1
asakura koumi,Hentai,Manga,netorase,humiliation,viewed humiliation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/151%2520%2528asakura%20koumi%2529.jpg,1,0
z-ton,Hentai,Detailed Hentai,futa,monster,used condom,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/099%2520%2528z-ton%2529.jpg,1,1
