Artist Name,NSFW Level,Style,Top Kink 1,Top Kink 2,Top Kink 3,Image URL,flat_chastity_cage,bondage,femdom
hamsasuke,Extreme,Surreal Hentai,flat_chastity_cage,bondage,humiliation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/013%2520%2528hamsasuke%2529.jpg,1,1,1
as109,Hentai,Detailed Sketch,size_humiliation,metal_cage,cock_cage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/137%2520%2528as109%2529.jpg,1,0,0
tsukako,Hentai,Anime Grotesque,femdom,prostate_milking,touching_own_chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/098%2520%2528tsukako%2529.jpg,1,1,1
